"level","dpa_code","parent_dpa_code","name","parish_type"
"PROVINCE","01","","Azuay",""
"PROVINCE","02","","Bolívar",""
"PROVINCE","03","","Cañar",""
"PROVINCE","04","","Carchi",""
"PROVINCE","05","","Cotopaxi",""
"PROVINCE","06","","Chimborazo",""
"PROVINCE","07","","El Oro",""
"PROVINCE","08","","Esmeraldas",""
"PROVINCE","09","","Guayas",""
"PROVINCE","10","","Imbabura",""
"PROVINCE","11","","Loja",""
"PROVINCE","12","","Los Ríos",""
"PROVINCE","13","","Manabí",""
"PROVINCE","14","","Morona Santiago",""
"PROVINCE","15","","Napo",""
"PROVINCE","16","","Pastaza",""
"PROVINCE","17","","Pichincha",""
"PROVINCE","18","","Tungurahua",""
"PROVINCE","19","","Zamora Chinchipe",""
"PROVINCE","20","","Galápagos",""
"PROVINCE","21","","Sucumbíos",""
"PROVINCE","22","","Orellana",""
"PROVINCE","23","","Santo Domingo de los Tsáchilas",""
"PROVINCE","24","","Santa Elena",""
"CANTON","0101","01","Cuenca",""
"CANTON","0102","01","Girón",""
"CANTON","0103","01","Gualaceo",""
"CANTON","0104","01","Nabón",""
"CANTON","0105","01","Paute",""
"CANTON","0106","01","Pucara",""
"CANTON","0107","01","San Fernando",""
"CANTON","0108","01","Santa Isabel",""
"CANTON","0109","01","Sígsig",""
"CANTON","0110","01","Oña",""
"CANTON","0111","01","Chordeleg",""
"CANTON","0112","01","El Pan",""
"CANTON","0113","01","Sevilla de Oro",""
"CANTON","0114","01","Guachapala",""
"CANTON","0115","01","Camilo Ponce Enríquez",""
"CANTON","0201","02","Guaranda",""
"CANTON","0202","02","Chillanes",""
"CANTON","0203","02","Chimbo",""
"CANTON","0204","02","Echeandía",""
"CANTON","0205","02","San Miguel",""
"CANTON","0206","02","Caluma",""
"CANTON","0207","02","Las Naves",""
"CANTON","0301","03","Azogues",""
"CANTON","0302","03","Biblián",""
"CANTON","0303","03","Cañar",""
"CANTON","0304","03","La Troncal",""
"CANTON","0305","03","El Tambo",""
"CANTON","0306","03","Déleg",""
"CANTON","0307","03","Suscal",""
"CANTON","0401","04","Tulcán",""
"CANTON","0402","04","Bolívar",""
"CANTON","0403","04","Espejo",""
"CANTON","0404","04","Mira",""
"CANTON","0405","04","Montúfar",""
"CANTON","0406","04","San Pedro de Huaca",""
"CANTON","0501","05","Latacunga",""
"CANTON","0502","05","La Maná",""
"CANTON","0503","05","Pangua",""
"CANTON","0504","05","Pujili",""
"CANTON","0505","05","Salcedo",""
"CANTON","0506","05","Saquisilí",""
"CANTON","0507","05","Sigchos",""
"CANTON","0601","06","Riobamba",""
"CANTON","0602","06","Alausi",""
"CANTON","0603","06","Colta",""
"CANTON","0604","06","Chambo",""
"CANTON","0605","06","Chunchi",""
"CANTON","0606","06","Guamote",""
"CANTON","0607","06","Guano",""
"CANTON","0608","06","Pallatanga",""
"CANTON","0609","06","Penipe",""
"CANTON","0610","06","Cumandá",""
"CANTON","0701","07","Machala",""
"CANTON","0702","07","Arenillas",""
"CANTON","0703","07","Atahualpa",""
"CANTON","0704","07","Balsas",""
"CANTON","0705","07","Chilla",""
"CANTON","0706","07","El Guabo",""
"CANTON","0707","07","Huaquillas",""
"CANTON","0708","07","Marcabelí",""
"CANTON","0709","07","Pasaje",""
"CANTON","0710","07","Piñas",""
"CANTON","0711","07","Portovelo",""
"CANTON","0712","07","Santa Rosa",""
"CANTON","0713","07","Zaruma",""
"CANTON","0714","07","Las Lajas",""
"CANTON","0801","08","Esmeraldas",""
"CANTON","0802","08","Eloy Alfaro",""
"CANTON","0803","08","Muisne",""
"CANTON","0804","08","Quinindé",""
"CANTON","0805","08","San Lorenzo",""
"CANTON","0806","08","Atacames",""
"CANTON","0807","08","Ríoverde",""
"CANTON","0901","09","Guayaquil",""
"CANTON","0902","09","Alfredo Baquerizo Moreno",""
"CANTON","0903","09","Balao",""
"CANTON","0904","09","Balzar",""
"CANTON","0905","09","Colimes",""
"CANTON","0906","09","Daule",""
"CANTON","0907","09","Durán",""
"CANTON","0908","09","El Empalme",""
"CANTON","0909","09","El Triunfo",""
"CANTON","0910","09","Milagro",""
"CANTON","0911","09","Naranjal",""
"CANTON","0912","09","Naranjito",""
"CANTON","0913","09","Palestina",""
"CANTON","0914","09","Pedro Carbo",""
"CANTON","0916","09","Samborondón",""
"CANTON","0918","09","Santa Lucía",""
"CANTON","0919","09","Salitre",""
"CANTON","0920","09","San Jacinto de Yaguachi",""
"CANTON","0921","09","Playas",""
"CANTON","0922","09","Simón Bolívar",""
"CANTON","0923","09","Coronel Marcelino Maridueña",""
"CANTON","0924","09","Lomas de Sargentillo",""
"CANTON","0925","09","Nobol",""
"CANTON","0927","09","General Antonio Elizalde",""
"CANTON","0928","09","Isidro Ayora",""
"CANTON","1001","10","Ibarra",""
"CANTON","1002","10","Antonio Ante",""
"CANTON","1003","10","Cotacachi",""
"CANTON","1004","10","Otavalo",""
"CANTON","1005","10","Pimampiro",""
"CANTON","1006","10","San Miguel de Urcuquí",""
"CANTON","1101","11","Loja",""
"CANTON","1102","11","Calvas",""
"CANTON","1103","11","Catamayo",""
"CANTON","1104","11","Celica",""
"CANTON","1105","11","Chaguarpamba",""
"CANTON","1106","11","Espíndola",""
"CANTON","1107","11","Gonzanamá",""
"CANTON","1108","11","Macará",""
"CANTON","1109","11","Paltas",""
"CANTON","1110","11","Puyango",""
"CANTON","1111","11","Saraguro",""
"CANTON","1112","11","Sozoranga",""
"CANTON","1113","11","Zapotillo",""
"CANTON","1114","11","Pindal",""
"CANTON","1115","11","Quilanga",""
"CANTON","1116","11","Olmedo",""
"CANTON","1201","12","Babahoyo",""
"CANTON","1202","12","Baba",""
"CANTON","1203","12","Montalvo",""
"CANTON","1204","12","Puebloviejo",""
"CANTON","1205","12","Quevedo",""
"CANTON","1206","12","Urdaneta",""
"CANTON","1207","12","Ventanas",""
"CANTON","1208","12","Vinces",""
"CANTON","1209","12","Palenque",""
"CANTON","1210","12","Buena Fé",""
"CANTON","1211","12","Valencia",""
"CANTON","1212","12","Mocache",""
"CANTON","1213","12","Quinsaloma",""
"CANTON","1301","13","Portoviejo",""
"CANTON","1302","13","Bolívar",""
"CANTON","1303","13","Chone",""
"CANTON","1304","13","El Carmen",""
"CANTON","1305","13","Flavio Alfaro",""
"CANTON","1306","13","Jipijapa",""
"CANTON","1307","13","Junín",""
"CANTON","1308","13","Manta",""
"CANTON","1309","13","Montecristi",""
"CANTON","1310","13","Paján",""
"CANTON","1311","13","Pichincha",""
"CANTON","1312","13","Rocafuerte",""
"CANTON","1313","13","Santa Ana",""
"CANTON","1314","13","Sucre",""
"CANTON","1315","13","Tosagua",""
"CANTON","1316","13","24 de Mayo",""
"CANTON","1317","13","Pedernales",""
"CANTON","1318","13","Olmedo",""
"CANTON","1319","13","Puerto López",""
"CANTON","1320","13","Jama",""
"CANTON","1321","13","Jaramijó",""
"CANTON","1322","13","San Vicente",""
